Object_ID;School_District_Code;School_District_Name;shape
39;072;Yukon;POLYGON ((2021475.9301054478 171752.71008610725, 2021584.8278535306 163977.18692326546, 2021583.6979345232 158493.5338485986, 2021583.6979345232 155837.37085385621, 2026806.8449685276 155823.68912269175, 2029626.0758786052 155818.84497226775, 2034865.7369871885 155827.98898285627, 2037334.6871017814 155831.53097051382, 2037334.6871017814 158543.83296060562, 2037317.57886827 163857.38106052577, 2037276.915891856 163857.00015577674, 2034707.9249668568 163832.8040099293, 2034701.7579844445 166526.21594592929, 2037308.1290840209 166518.99089476466, 2037316.5211276114 169117.09691901505, 2039907.4211295247 169123.38004294038, 2039900.9109719396 171759.44891777635, 2042529.7249400318 171752.33213409781, 2050571.0031487793 171770.99515451491, 2055966.1160461903 171780.13883702457, 2061278.9318641126 171807.57086877525, 2066307.1219389439 171823.42812052369, 2066325.826954022 174442.70798693597, 2066311.3371536136 177020.20808127522, 2066347.5631310195 179611.59003759921, 2066359.1598926038 184889.8380112648, 2066350.1618791074 187547.11189618707, 2066331.5490554422 193043.29808226228, 2066322.5510419458 195700.56999868155, 2066275.6689178646 200759.84104810655, 2065472.4769546986 200757.13304826617, 2065449.2368436903 206087.60795159638, 2065447.573133111 207058.81991992891, 2062791.8008856028 207065.85501085222, 2062791.8008856028 207416.26113419235, 2065447.0140791088 207399.93997260928, 2065445.4340297729 208729.49505627155, 2060166.8881564438 208707.04300144315, 2057591.0389774442 208699.16604869068, 2057590.4969837815 206051.22383801639, 2054959.6370880306 206017.70815701783, 2054927.9370201975 208710.40815219283, 2052311.897960946 208702.62109427154, 2052281.0630488545 219183.23694401979, 2036357.3511299491 219198.66899977624, 2036361.51385127 213892.60612110794, 2033741.2969788611 213899.75899393857, 2033739.6378614455 216549.30815677345, 2030966.000036031 216545.42496243119, 2030966.1729359478 213915.76191468537, 2028427.546123445 213924.92200134695, 2028464.7999859452 205974.89590668678, 2028442.0900576115 200668.12994544208, 2033771.1440320313 200683.025913015, 2039046.4018541873 200697.77194651961, 2044709.5368533581 200712.90807110071, 2049634.636911273 200724.40804810822, 2055710.2199044377 200744.34993734956, 2055738.1788380295 195517.2229244411, 2055712.2149791867 190282.3971080184, 2055730.6299686134 187635.15994843841, 2053061.8898992687 187637.07004959881, 2053081.1569211036 184995.59797035158, 2053121.0698990226 179724.01993085444, 2050453.4400636852 179734.05009451509, 2050475.440019697 174445.14006868005, 2037296.6100781858 174415.27989219129, 2037311.8259270191 171776.23595768213, 2029557.4930105209 171770.99810726941, 2021475.9301054478 171752.71008610725))
40;Not Available;Western Heights;POLYGON ((2066307.1219389439 171823.42812052369, 2066358.0768895298 167708.70800352097, 2066342.825935781 163413.642118603, 2066392.236926198 158640.907897681, 2066393.4370550215 158605.50803411007, 2066408.8408956081 155957.87192519009, 2067918.9369567782 155976.70784552395, 2069021.4688724428 155977.01001027226, 2069021.3169698566 155164.04313227534, 2069006.67297028 155066.38584727049, 2068986.4958452731 155005.85709694028, 2068962.2849356979 154953.39886851609, 2068935.3830866069 154898.25002868474, 2068899.0659020245 154832.3410397768, 2068849.2979569435 154759.70601443946, 2068795.4939306974 154705.90297243, 2068737.1390605271 154665.39386710525, 2068773.3571639359 154625.38705734909, 2068808.571988523 154555.68706552684, 2068831.2218776047 154482.96608234942, 2068839.8340651095 154350.7849162668, 2068850.93706128 153333.20788317919, 2069083.2791162729 153331.39915977418, 2069151.2419068515 140126.99184159935, 2073862.619951278 140137.92784334719, 2082142.7969604433 140227.49885843694, 2097991.6140160263 140242.01490551233, 2100483.3931531906 140287.68213701248, 2100487.3370429426 140653.10791535676, 2100493.5371617824 140816.00785201788, 2100486.0368486941 140962.00788810849, 2100482.5368556976 142869.40794467926, 2097991.63698186 142849.10811652243, 2097998.2921522707 145411.10102401674, 2096925.1538786143 145442.72005526721, 2096891.1519781053 146388.65090619028, 2096888.4059206098 147007.46889427304, 2096917.078107357 147262.40900118649, 2097094.7641036958 147518.00986793637, 2096944.7811359465 147735.75483927131, 2096944.6708999425 148139.84097334743, 2095997.9369010329 148139.10705094039, 2095670.0369662791 148143.90789435804, 2095342.4880806953 148194.47505043447, 2095300.4369836897 150618.40786659718, 2095305.2368428558 150700.00711284578, 2095323.7371339351 150772.20808394253, 2095307.3359200209 153417.80810768902, 2092658.2388560325 153418.69688543677, 2087382.9370706975 153357.90796501935, 2087381.8560361117 154169.1681535244, 2087377.736949861 154963.20790402591, 2087373.9370886981 156042.80810701847, 2087359.2379711121 158684.70800693333, 2087343.5119526982 160990.07216259837, 2087323.162912026 163930.95112335682, 2086715.0161624402 163963.32901135087, 2086033.6418690234 163050.51193934679, 2084810.1899196059 163591.58894118667, 2083348.50189811 164131.40708726645, 2082010.8651376963 163434.49509526789, 2080197.6948795319 162444.59189134836, 2079450.6379746944 163060.54407152534, 2078883.5790694356 163349.58614435792, 2078318.0519852787 163238.22809934616, 2077900.7650901973 163309.45006977022, 2077425.278836444 163016.44212560356, 2076853.1930383593 164652.36405059695, 2076822.1809612811 164979.86208327115, 2076797.1209720224 165308.83813135326, 2076786.8040635288 165518.47189843655, 2076776.5101208538 165722.2818582654, 2076774.1259392798 167815.59985010326, 2079379.54297252 167773.54612843692, 2079347.0981555283 174526.27212427557, 2076687.0368746072 174514.90698951483, 2074253.7809143662 174493.6281606853, 2071431.4371496141 174470.20793193579, 2071428.6569714397 175763.32115934789, 2069457.0808621049 175764.09215518832, 2069459.7278384417 175609.82802802324, 2069163.8678658605 175608.37593118846, 2069163.1808593571 175763.06787902117, 2068802.0608466864 175761.81197601557, 2068788.3118584454 177072.16204559803, 2067963.8909351081 177069.36907218397, 2066862.3160385191 177065.5990666002, 2066311.3371536136 177020.20808127522, 2066325.826954022 174442.70798693597, 2066307.1219389439 171823.42812052369))
41;116;Moore;POLYGON ((2069093.258098945 132254.16605184972, 2069118.5598856062 127661.27497518063, 2069118.7459088564 126257.88408118486, 2069139.6549877822 121715.49585627019, 2071829.3398971111 121720.21008569002, 2073458.9399843663 120467.39992727339, 2074798.740126282 118901.69997468591, 2076247.6000894457 116362.31004035473, 2078272.8801596016 113807.34008468688, 2078981.0339270234 113207.61884318292, 2079565.9399094433 112716.81011351943, 2081838.7299832702 111645.62984119356, 2083872.6901541948 111112.35991035402, 2084719.1999441087 110386.78983919322, 2085861.3000221103 110359.92014226317, 2088132.0799293518 110722.69992852211, 2089851.9600197822 110373.34990543127, 2093746.150066033 110392.79015527666, 2094713.9699807763 110317.62003001571, 2095484.459909603 110092.10998235643, 2096057.639865607 109810.22012618184, 2096471.0799836069 109387.38993510604, 2096743.5699241906 108767.23008619249, 2096978.4798874408 108081.30002760887, 2097100.6299056113 107432.96011693776, 2097386.7799238563 106169.25004594028, 2111493.0299265236 106191.6200799346, 2111490.3799974471 106521.60990552604, 2114127.3399466127 106542.76012568176, 2114093.5601585209 111493.4998961091, 2111436.8801044375 111471.80997885764, 2111412.9900603592 116701.66008344293, 2114032.1498482823 116715.51012134552, 2113967.940002948 124708.35010677576, 2111363.9501321912 124694.46988518536, 2111322.7198996991 129975.06988826394, 2114029.3601556867 130009.51010809839, 2113967.9199898541 135272.74990968406, 2129687.3600076139 135272.78993585706, 2129699.5499438643 132627.0101224333, 2129799.55007194 132627.41005602479, 2129807.9001208544 129990.1400680989, 2133758.2898578644 130047.36994051933, 2133765.909921363 128732.28005102277, 2135100.5299555212 128752.88007543981, 2135209.9900384396 114248.33985885978, 2143112.5700337738 114290.01005110145, 2143154.3399633616 106362.83003935218, 2148563.1660879403 106395.35884568095, 2148563.0768492818 109034.38998493552, 2151074.8861301094 109037.66196002066, 2151028.0469849408 111735.15098761022, 2148407.5361498594 111718.75896002352, 2148395.989913106 111718.68710976839, 2148394.8721331954 116951.9000685215, 2148376.0749266893 122201.65006768703, 2150940.0809535235 122201.25111834705, 2150940.9198626131 124835.99486459792, 2156098.0020681024 124851.69890142977, 2161269.5310951024 124860.2169290185, 2164029.15090394 124882.48394484818, 2164023.7221090198 131319.05998243392, 2164023.3520310223 132751.02595052123, 2164003.9951143563 137992.45903718472, 2164026.8959871978 137991.84191243351, 2164013.54791677 140673.87198144197, 2161369.5171156079 140597.15986451507, 2158890.49287419 140541.06712894142, 2155973.8799410313 140523.84701901674, 2150856.8868941963 140510.08293893933, 2149079.0000300258 140502.57507993281, 2145579.3518456072 140474.39895518124, 2142251.7039733529 140447.67788001895, 2140330.1710710227 140432.92889377475, 2138045.5299710184 140419.81901185215, 2135046.5379375219 140420.24289551377, 2132268.4509740323 140420.40693718195, 2129657.9000927806 140421.40595093369, 2124328.2001222819 140385.66586492956, 2121657.5660278648 140361.94609610736, 2118859.3140784353 140343.26896810532, 2116346.647843942 140324.86414927244, 2113813.0059296042 140328.04786993563, 2111167.8711280227 140331.63283652067, 2108544.5030151904 140334.83689835668, 2103267.8360751122 140305.052837193, 2100483.3931531906 140287.68213701248, 2097991.6140160263 140242.01490551233, 2082142.7969604433 140227.49885843694, 2073862.619951278 140137.92784334719, 2069151.2419068515 140126.99184159935, 2069140.4181096107 137506.02497068048, 2069180.7641575187 137506.16506226361, 2069093.258098945 132254.16605184972))
42;Not Available;Crooked Oak;POLYGON ((2129519.7629018575 169402.77187260985, 2128132.7371326089 169393.50811159611, 2128078.136848107 169387.70792634785, 2127970.1390326023 169367.233885929, 2127829.8660191894 169314.04206319153, 2125051.8758402765 169314.8829407692, 2124329.8369300216 169330.70804035664, 2121656.8140608519 169373.87101176381, 2121646.5968896896 165547.25989860296, 2120664.1251013577 165542.07290109992, 2120366.0919047743 165576.90813326836, 2120097.8450659364 165611.90215776861, 2119022.8370453566 165802.40801034868, 2119023.7369779348 165563.30809485912, 2119025.9371047765 164854.70813409984, 2119028.1369035244 164152.60816034675, 2118370.2369726151 164142.70693343878, 2118372.7208915204 163422.73199543357, 2117970.137051031 163419.80811676383, 2117963.3368677795 162698.80791835487, 2118358.1369311959 162707.80790035427, 2118372.3370340317 162347.30796518922, 2119027.036840111 162374.80791018903, 2119026.5368411094 161640.60793502629, 2119018.2150073647 161392.19012476504, 2120298.71014978 161390.70915660262, 2121563.8851128519 161387.91913594306, 2121566.0209353566 160247.49293909967, 2121583.1058749408 158878.55506019294, 2119386.9068552703 158867.10199910402, 2119386.9760808647 158526.45110560954, 2119026.4371037781 158526.10793043673, 2119035.4370857775 156154.30788402259, 2124342.7460249364 156148.5129480958, 2129630.3630743623 156131.88502860069, 2129629.5550051033 156261.08588568866, 2129596.5560553521 156260.87984935939, 2129574.6518996954 158888.75713951886, 2129564.1450309455 161914.04898919165, 2129552.2690704465 164164.04416109622, 2129535.8478434384 166811.02311910689, 2129597.3890589476 166814.10086885095, 2129600.8368866891 166974.12089002132, 2129597.4960141033 167512.52598118782, 2129593.4671507776 168161.82487943769, 2129527.4679389447 168161.41608759761, 2129519.7629018575 169402.77187260985))
43;416;Harrah;POLYGON ((2211191.3390596956 140921.71794243157, 2224254.9730373621 140973.73686726391, 2224234.352999866 146232.76407885551, 2218944.0489479452 146240.10100643337, 2218947.8110795319 144918.19912268221, 2217576.8069317788 144919.17713910341, 2217579.1300898641 146240.75586077571, 2218944.0489479452 146240.10100643337, 2218948.7900801897 146594.95987677574, 2218939.9200191945 148576.13012701273, 2218656.9300996065 148575.09010285139, 2218656.64007394 148725.51007759571, 2218781.1900216937 148725.43002526462, 2218781.3399557769 148875.84015752375, 2218938.5699562728 148876.35984152555, 2218935.584069863 150138.42883968353, 2218932.2300739437 151556.30001968145, 2217558.462152198 151543.8381023556, 2212117.8201463521 151500.99009093642, 2212054.8199442774 151563.94993877411, 2211961.979906857 151647.1699166894, 2211864.060155198 151724.34988044202, 2211761.4501241893 151795.18011935055, 2211662.3299156129 151855.01989468932, 2211543.8301526159 151916.69004693627, 2211421.4301349372 151970.18993993104, 2211312.6199851036 152009.74990019202, 2211206.6280711144 152041.44504676759, 2211212.0460392684 151281.07812918723, 2211191.3390596956 140921.71794243157))
44;416;Harrah;POLYGON ((2200273.3661450297 198566.18795509636, 2200281.7430967689 188136.34103268385, 2202912.8949866891 188158.29505701363, 2202941.3119246066 187223.711952433, 2202932.8749336153 187089.68302102387, 2202882.383892864 186856.29798910022, 2202835.8498651981 186721.95901893079, 2202790.0251536965 186500.26097151637, 2202859.3389914483 186174.65696392953, 2202917.617090106 186035.34490659833, 2202985.0900522768 185936.87791194022, 2203038.4659297764 185814.99889060855, 2203035.4521562755 185599.47209069133, 2203008.1559510231 185441.99209068716, 2203026.1388546973 185353.31608693302, 2202960.4998783618 184422.32811951637, 2203015.0811340213 180480.03285451233, 2203043.5571269393 175209.189065516, 2203060.7529586852 172796.20996759832, 2211157.6081560254 172844.51302060485, 2211157.5238386095 169958.5279789418, 2211157.7800716907 164697.63298892975, 2211162.1731075197 159435.98307918012, 2211175.6619256884 157130.67896276712, 2211195.2511253655 154145.3450384289, 2211206.6280711144 152041.44504676759, 2211312.6199851036 152009.74990019202, 2211421.4301349372 151970.18993993104, 2211543.8301526159 151916.69004693627, 2211662.3299156129 151855.01989468932, 2211761.4501241893 151795.18011935055, 2211864.060155198 151724.34988044202, 2211961.979906857 151647.1699166894, 2212054.8199442774 151563.94993877411, 2212117.8201463521 151500.99009093642, 2217558.462152198 151543.8381023556, 2217559.7219921947 151873.28199726343, 2220196.6389624476 151872.2731410265, 2220195.5080591887 152201.69997560978, 2218927.9259486943 152202.40797944367, 2218925.7501000315 152879.95288418233, 2221517.6930788606 152868.50900943577, 2221517.4801527709 154169.62090851367, 2224207.5000351965 154177.0779145956, 2224204.0000421852 159448.46796235442, 2221724.93708694 159446.29703493416, 2221727.4728430212 161825.95894226432, 2224182.1979204416 161826.94909776747, 2224191.7500666976 164715.37507943809, 2224164.0001221895 165130.23415786028, 2224176.0000981987 170032.85886701941, 2226689.01508528 170031.51897469163, 2226716.7978381068 177853.35011577606, 2229195.2229993641 177853.62603385746, 2229195.894914031 180439.8610188514, 2226712.8441058546 180446.11888034642, 2226669.7769347727 185655.38897360861, 2226668.085993275 188369.95703527331, 2229154.5659284443 188369.48492334783, 2229144.9839266092 191065.68392726779, 2231877.3140918612 191064.378155604, 2231880.8091636151 188410.23812268674, 2234571.7890178561 188451.07793602347, 2239810.3989474475 188495.17397643626, 2242464.9549900293 188507.46299386024, 2242447.5980693549 196414.68602451682, 2239678.5219146162 196419.77886210382, 2239678.335891366 198965.75703784823, 2237051.0048599392 198961.84398794174, 2237047.801126197 201628.05486285686, 2237264.3351419419 201630.35407085717, 2237291.9390893579 206919.35694426298, 2238421.2760695219 206939.27488343418, 2238417.0579021126 209491.05586910248, 2239725.8689327687 209491.05586910248, 2239726.3151261061 206916.37991610169, 2242504.2209876031 206896.39603218436, 2242433.6791339368 222664.80609636009, 2223797.2498714477 222628.00006760657, 2223850.0000940263 217364.71892751753, 2223858.4151034355 212091.59397509694, 2218674.7499458641 212050.21807360649, 2213422.546867609 211970.79598835111, 2210937.0321536064 211978.02497652173, 2210926.2129495293 204400.5850789398, 2210916.8330470324 204384.12612235546, 2210889.1100053638 204284.87796126306, 2210883.1050961018 204185.08485376835, 2210891.06505394 204051.9191095978, 2210882.0841007829 203987.77488093078, 2210844.5979552716 203917.56800034642, 2210835.8620803654 203824.3040792644, 2210836.9368813634 203696.17703893781, 2210876.6720381081 203498.48091201484, 2210858.857113108 203352.7210329324, 2210793.7919545323 203165.794897601, 2210842.606161356 203020.59407252073, 2210857.7150550187 202921.70713119209, 2210835.091084525 202781.73103319108, 2210822.1321209371 202624.36389385164, 2210803.0550593585 202522.64100018144, 2210837.1219203621 201283.74288743734, 2210835.2800605297 198575.42809410393, 2208118.1539331079 198575.99108509719, 2202877.4278660268 198566.00390034914, 2200273.3661450297 198566.18795509636))
45;496;McLoud;POLYGON ((2218944.0489479452 146240.10100643337, 2224234.352999866 146232.76407885551, 2224228.9599660188 148144.92003144324, 2221556.969903186 146676.90197010338, 2221364.5398418605 146570.08984777331, 2221177.630110696 146485.25996494293, 2221006.4001381993 146422.24992035329, 2220831.2298848629 146371.20999619365, 2220675.3801309466 146336.58014418185, 2220517.7200131863 146311.42008951306, 2220336.0501009375 146294.40995293856, 2220153.6498751938 146289.979843691, 2219948.6499571055 146300.07004660368, 2219745.0499706119 146326.06015209854, 2219566.2399607748 146362.37011885643, 2219412.1700589359 146404.22010077536, 2219260.9098627716 146455.300051108, 2219133.9101167768 146506.29994910955, 2218948.7900801897 146594.95987677574, 2218944.0489479452 146240.10100643337))
46;416;Harrah;POLYGON ((2218656.64007394 148725.51007759571, 2218656.9300996065 148575.09010285139, 2218939.9200191945 148576.13012701273, 2218948.7900801897 146594.95987677574, 2219133.9101167768 146506.29994910955, 2219260.9098627716 146455.300051108, 2219412.1700589359 146404.22010077536, 2219566.2399607748 146362.37011885643, 2219745.0499706119 146326.06015209854, 2219948.6499571055 146300.07004660368, 2220153.6498751938 146289.979843691, 2220336.0501009375 146294.40995293856, 2220517.7200131863 146311.42008951306, 2220675.3801309466 146336.58014418185, 2220831.2298848629 146371.20999619365, 2221006.4001381993 146422.24992035329, 2221177.630110696 146485.25996494293, 2221364.5398418605 146570.08984777331, 2221556.969903186 146676.90197010338, 2221556.7500873655 148899.264979437, 2221549.0870449394 151474.35005235672, 2220187.4178522825 151472.38286468387, 2220188.7410123646 150138.75987577438, 2218935.584069863 150138.42883968353, 2218938.5699562728 148876.35984152555, 2218781.3399557769 148875.84015752375, 2218781.1900216937 148725.43002526462, 2218656.64007394 148725.51007759571))
47;496;McLoud;POLYGON ((2221517.6930788606 152868.50900943577, 2218925.7501000315 152879.95288418233, 2218927.9259486943 152202.40797944367, 2220195.5080591887 152201.69997560978, 2220196.6389624476 151872.2731410265, 2217559.7219921947 151873.28199726343, 2217558.462152198 151543.8381023556, 2218932.2300739437 151556.30001968145, 2218935.584069863 150138.42883968353, 2220188.7410123646 150138.75987577438, 2220187.4178522825 151472.38286468387, 2221549.0870449394 151474.35005235672, 2221517.6930788606 152868.50900943577))
48;416;Harrah;POLYGON ((2221549.0870449394 151474.35005235672, 2222482.8318966031 151480.5390163511, 2222490.7390330285 148924.38894493878, 2224225.6968491971 148917.50214768946, 2224228.9599660188 148144.92003144324, 2224234.352999866 146232.76407885551, 2224254.9730373621 140973.73686726391, 2224265.6678978652 138318.41212543845, 2226925.8728792816 138330.27594685555, 2226899.5438636988 140993.66005577147, 2226870.3710217774 143650.85585685074, 2226804.9718743563 151525.93098594248, 2224269.923138693 151525.38210251927, 2224270.6800269485 152488.70399476588, 2222919.5039235204 152491.77583901584, 2222919.5370599478 152869.87613268197, 2221517.6930788606 152868.50900943577, 2221549.0870449394 151474.35005235672))
49;496;McLoud;POLYGON ((2222482.8318966031 151480.5390163511, 2221549.0870449394 151474.35005235672, 2221556.7500873655 148899.264979437, 2221556.969903186 146676.90197010338, 2224228.9599660188 148144.92003144324, 2224225.6968491971 148917.50214768946, 2222490.7390330285 148924.38894493878, 2222482.8318966031 151480.5390163511))
50;496;McLoud;POLYGON ((2221517.4801527709 154169.62090851367, 2221517.6930788606 152868.50900943577, 2222919.5370599478 152869.87613268197, 2222919.5039235204 152491.77583901584, 2224270.6800269485 152488.70399476588, 2224269.923138693 151525.38210251927, 2226804.9718743563 151525.93000169098, 2226870.3710217774 143650.85585685074, 2226899.5438636988 140993.66005577147, 2226925.8728792816 138330.27594685555, 2224265.6678978652 138318.41212543845, 2224304.0700520277 132999.110100016, 2229479.370068863 133050.15986669064, 2229519.2800940275 130396.40992484987, 2224343.5201043636 130377.47000209987, 2224383.4770454466 127707.69286134839, 2237344.2621474415 127788.77012701333, 2237310.8071618527 132840.4709815979, 2237291.4548383653 138439.328878358, 2239946.6440817714 138451.38397234678, 2239904.6720528603 141051.26197469234, 2239887.8029921055 143676.49097618461, 2239831.6078945249 146345.54305276275, 2245992.7930786908 146345.94692336023, 2247750.3338549435 146362.86093151569, 2247732.5500978529 149064.82107876241, 2249644.5951582789 149087.77083602548, 2250315.9691436142 149082.61008518934, 2250338.7830743641 148011.16701810062, 2250322.419918105 147977.51715101302, 2250324.0468833596 147810.56505709887, 2250561.2750834376 147812.75402911007, 2253895.4058823586 147809.43809084594, 2253846.6910847723 148086.6849116832, 2253795.6360687762 148186.29002743959, 2253694.9781336039 148268.66092568636, 2253552.4639829397 148333.87503410876, 2253143.3591581136 148413.20984917879, 2253051.047006771 148495.66604910791, 2253008.423076272 148586.98312368989, 2253022.3269198537 148870.33590343595, 2253111.73815836 149112.93187493086, 2253110.9140130281 149196.65086759627, 2253108.787048772 149412.8650020957, 2253041.1320003569 149503.93601419032, 2252923.6269860268 149602.8889002651, 2252407.12801902 149573.06186018884, 2252223.6119818538 149596.01588252187, 2252057.4328522682 149552.88703176379, 2251775.9038877785 149358.64890319109, 2251676.1009377688 149324.18112435937, 2251526.03890194 149339.45799668133, 2251425.5548509359 149405.09303602576, 2251348.8269860297 149571.06908202171, 2251321.1859651953 149837.63383759558, 2251378.7800101042 149921.55985085666, 2251586.3501330316 149998.58102226257, 2251836.049108699 150034.15214535594, 2251902.395104602 150076.30199544132, 2251942.7240921855 150218.66883668303, 2251932.011843279 150460.28088626266, 2251830.7449854463 150575.77901485562, 2251672.0989772826 150616.08897359669, 2251364.0021525323 150579.58510960639, 2251130.5078688562 150594.04800719023, 2250804.8789269477 150674.23190194368, 2250319.1210401952 150886.45883968472, 2250226.3679448515 150985.29984934628, 2250224.2550881952 151202.24200077355, 2250305.3379312754 151444.74807743728, 2250371.3558438569 151520.38211251795, 2250471.5610240251 151512.98612993956, 2250648.1869831085 151339.60885201395, 2250781.0640139431 151374.03201152384, 2250855.5071065277 151441.376036942, 2251051.8718712777 151810.23684777319, 2251224.6418669373 152062.01390327513, 2251406.3550861925 152221.77998793125, 2251545.7458835244 152473.23289710283, 2251687.1730941087 152516.47985784709, 2252020.2829921991 152552.86987693608, 2252269.2211426049 152663.79189918935, 2252434.3159567714 152815.39297392964, 2252752.7729970217 153493.43394067883, 2253197.1779481024 154089.35499294102, 2253253.3618908525 154315.05893784761, 2255828.0959146023 154331.60188376904, 2255800.55299069 154614.54488743842, 2255783.0881306082 155352.991901353, 2255759.8011036962 156347.65887527168, 2255733.2129022777 157074.72992768884, 2255665.2740617692 157405.3240827769, 2255680.6769181043 158339.60206985474, 2253037.9909305274 158338.206075266, 2253037.1110110283 159616.87904284894, 2255752.0570246875 159647.52694743872, 2255734.9560090303 160987.43109177053, 2257055.1141298562 160987.53312568367, 2257054.6088815182 162312.78113135695, 2255717.9071586132 162306.072155267, 2255700.7749750316 164930.93107877672, 2255672.7290993631 167454.84302568436, 2255671.4459654391 167568.1689145267, 2258281.5440916866 167576.53110252321, 2258274.6461396068 170198.51404751837, 2258293.5309443623 170198.63904726505, 2258251.352879107 175425.08791193366, 2258215.7049845308 180691.80999001861, 2254507.3928473592 180712.56913484633, 2254356.373136282 180810.81893835962, 2254072.6958821118 180866.62296059728, 2253998.01099211 180832.39501067996, 2253890.72085236 180723.21806368232, 2253794.6790496856 180604.96305085719, 2242508.1179614365 180557.54090160131, 2242482.61604394 185867.0460305959, 2242464.9549900293 188507.46299386024, 2239810.3989474475 188495.17397643626, 2234571.7890178561 188451.07793602347, 2231880.8091636151 188410.23713843524, 2231877.3140918612 191064.378155604, 2229144.9839266092 191065.68392726779, 2229154.5659284443 188369.48492334783, 2226668.085993275 188369.95703527331, 2226669.7769347727 185655.38897360861, 2226712.8441058546 180446.11888034642, 2229195.894914031 180439.8610188514, 2229195.2229993641 177853.62603385746, 2226716.7978381068 177853.35011577606, 2226689.01508528 170031.51897469163, 2224176.0000981987 170032.85886701941, 2224164.0001221895 165130.23415786028, 2224191.7500666976 164715.37507943809, 2224182.1979204416 161826.94909776747, 2221727.4728430212 161825.95894226432, 2221724.93708694 159446.29703493416, 2224204.0000421852 159448.46796235442, 2224207.5000351965 154177.0779145956, 2221517.4801527709 154169.62090851367))
51;496;McLoud;POLYGON ((2195353.3300533593 138276.83904585242, 2195379.13807261 132853.41583760083, 2195476.9698979408 127665.23001976311, 2198032.3899839371 127662.56007760763, 2198067.1750193536 124998.68384368718, 2203340.7350102812 124995.32886351645, 2208606.9771024436 124991.97814843059, 2213866.6719636023 124989.01391552389, 2224405.3319886029 124981.2911619395, 2224383.4770454466 127707.69286134839, 2224343.5201043636 130377.47000209987, 2229519.2800940275 130396.40992484987, 2229479.370068863 133050.15986669064, 2224304.0700520277 132999.110100016, 2224265.6678978652 138318.41212543845, 2224254.9730373621 140973.73686726391, 2211191.3390596956 140921.71794243157, 2211212.0460392684 151281.07812918723, 2208377.8948834389 151299.70702894032, 2203061.7388491035 151335.10984526575, 2195394.140011102 151387.5070501864, 2195397.8089670241 148798.00107435882, 2195397.805030033 146860.55284951627, 2195397.7938751876 143518.19700144231, 2195396.190860033 140745.91711293161, 2195353.3300533593 138276.83904585242))
52;123;Little Axe;POLYGON ((2198067.1750193536 124998.68384368718, 2198142.2001317739 119743.40006293356, 2200780.8999068588 119740.54016052186, 2200821.2600623518 117099.38008852303, 2203459.539890781 117088.09992735088, 2203536.7999068648 109176.8001331836, 2208818.7601434439 109167.81983618438, 2208775.8501242697 111811.99007277191, 2217425.5431266874 111852.35514952242, 2222734.2651207745 111870.32788260281, 2224547.1699595302 111872.90989843011, 2224405.3319886029 124981.2911619395, 2213866.6719636023 124989.01391552389, 2208606.9771024436 124991.97814843059, 2203340.7350102812 124995.32886351645, 2198067.1750193536 124998.68384368718))
